Fecha;Representante;CódigoProducto;Unidades
1/1/14;Valentina Tapia Castro;B00F3J4B5S;4
2/1/14;Gabriela Rojas Huerta;B018IZ0SWI;2
2/1/14;Carla Fernández Mendoza;B01DZJFWNC;1
2/1/14;Luisa García López;B01DZJFWNC;2
2/1/14;Juan Carlos Rodríguez Huamán;B016381QZA;4
3/1/14;Ricardo Gómez Vargas;B00J0O5J4Y;2
3/1/14;Diego Morales Castro;B01KBH547A;3
4/1/14;Silvia Ramírez Rivera;B00K15Q2B0;15
4/1/14;Laura Flores Guzmán;B00NQGP42Y;2
4/1/14;Eduardo Cáceres Salazar;B00NQGP42Y;2
4/1/14;Andrés Ramos Silva;B01LQV1YHO;2
4/1/14;Carlos González Medina;B01KBH547A;2
4/1/14;Julio Vargas López;B00F3J4B5S;6
5/1/14;Miguel Ángel Vega Torres;B00J0O5J4Y;4
5/1/14;Ana María Castro Chávez;B01KBH547A;3
5/1/14;Sofía Castro Valdez;B00NQGP42Y;2
5/1/14;Ricardo Gómez Vargas;B01KBH547A;1
5/1/14;Silvia Ramírez Rivera;B018IZ0SWI;19
5/1/14;Valentina Torres Vega;B00NQGP42Y;3
5/1/14;Diego Morales Castro;B00J0O5J4Y;2
5/1/14;Luisa García López;B018IZ0SWI;1
5/1/14;Gabriela Rojas Huerta;B018IZ0SWI;2
5/1/14;Juan Carlos Rodríguez Huamán;B01EYT1URO;3
6/1/14;Carla Fernández Mendoza;B01EYT1URO;2
6/1/14;Eduardo Cáceres Salazar;B018IZ0SWI;1
7/1/14;Laura Flores Guzmán;B00NQGP42Y;2
7/1/14;Carlos González Medina;B01LQV1YHO;1
7/1/14;Andrés Ramos Silva;B00NQGP42Y;2
7/1/14;Miguel Ángel Vega Torres;B01EYT1URO;2
7/1/14;Julio Vargas López;B00K15Q2B0;1
7/1/14;Silvia Ramírez Rivera;B01DZJFWNC;3
7/1/14;Diego Morales Castro;B016381QZA;1
8/1/14;Sofía Castro Valdez;B018IZ0SWI;3
8/1/14;Ricardo Gómez Vargas;B018IZ0SWI;2
8/1/14;Valentina Torres Vega;B00F3J4B5S;3
8/1/14;Luisa García López;B01KBH547A;21
9/1/14;Juan Carlos Rodríguez Huamán;B00NQGP42Y;3
9/1/14;Ana María Castro Chávez;B00F3J4B5S;2
9/1/14;Gabriela Rojas Huerta;B00F3J4B5S;3
9/1/14;Carla Fernández Mendoza;B01DZJFWNC;2
10/1/14;Eduardo Cáceres Salazar;B00J0O5J4Y;1
10/1/14;Miguel Ángel Vega Torres;B00J0O5J4Y;2
10/1/14;Laura Flores Guzmán;B016B7INC2;3
10/1/14;Silvia Ramírez Rivera;B018IZ0SWI;1
11/1/14;Julio Vargas López;B01KBH547A;1
11/1/14;Diego Morales Castro;B016B7INC2;19
11/1/14;Carlos González Medina;B01DZJFWNC;2
11/1/14;Andrés Ramos Silva;B01KBH547A;1
11/1/14;Ricardo Gómez Vargas;B00F3J4B5S;2
11/1/14;Sofía Castro Valdez;B016381QZA;2
11/1/14;Valentina Torres Vega;B016B7INC2;2
11/1/14;Luisa García López;B016B7INC2;3
11/1/14;Gabriela Rojas Huerta;B00J0O5J4Y;1
12/1/14;Juan Carlos Rodríguez Huamán;B01EYT1URO;2
12/1/14;Ana María Castro Chávez;B00K15Q2B0;1
12/1/14;Carla Fernández Mendoza;B01LQV1YHO;1
12/1/14;Eduardo Cáceres Salazar;B00NQGP42Y;3
12/1/14;Miguel Ángel Vega Torres;B015YCRYZM;1
12/1/14;Laura Flores Guzmán;B018IZ0SWI;2
13/1/14;Silvia Ramírez Rivera;B01KBH547A;2
13/1/14;Julio Vargas López;B00NQGP42Y;4
13/1/14;Diego Morales Castro;B00F3J4B5S;3
13/1/14;Carlos González Medina;B01DZJFWNC;2
14/1/14;Andrés Ramos Silva;B01KBH547A;4
14/1/14;Ricardo Gómez Vargas;B01LQV1YHO;2
14/1/14;Valentina Torres Vega;B01KBH547A;15
14/1/14;Luisa García López;B01KBH547A;2
14/1/14;Sofía Castro Valdez;B00K15Q2B0;1
15/1/14;Juan Carlos Rodríguez Huamán;B018IZ0SWI;2
15/1/14;Gabriela Rojas Huerta;B01DZJFWNC;3
15/1/14;Carla Fernández Mendoza;B018IZ0SWI;1
15/1/14;Ana María Castro Chávez;B00NQGP42Y;3
15/1/14;Eduardo Cáceres Salazar;B01LQV1YHO;1
15/1/14;Miguel Ángel Vega Torres;B01KBH547A;2
16/1/14;Laura Flores Guzmán;B00NQGP42Y;2
16/1/14;Diego Morales Castro;B01EYT1URO;2
16/1/14;Silvia Ramírez Rivera;B00K15Q2B0;3
16/1/14;Ricardo Gómez Vargas;B018IZ0SWI;2
17/1/14;Julio Vargas López;B01DZJFWNC;2
17/1/14;Andrés Ramos Silva;B00NQGP42Y;3
17/1/14;Carlos González Medina;B00F3J4B5S;2
